Provider,Provider Country,SKU,Developer,Title,Version,Product Type Identifier,Units,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Apple Identifier,Customer Price,Promo Code,Parent Identifier,Subscription,Period
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,1,0,01/05/2013,01/05/2013,USD,BS,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,1,0,01/05/2013,01/05/2013,USD,TC,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,2,0,01/05/2013,01/05/2013,MXN,MX,MXN,384101264,0, , , , 
APPLE,US,com.metro.tablet001,Associated Northcliffe Digital Limited,Metro Tablet Edition,1.3.0,7T,1,0,01/05/2013,01/05/2013,USD,EC,USD,463429891,0, , , , 
APPLE,US,com.metro.phoneedition.freesubscription, ,Metro Phone Edition Subscription, ,IAC,1,0,01/05/2013,01/05/2013,USD,MY,USD,542378621,0, ,com.metro.phone001, , 
APPLE,US,co.uk.mailonsunday.monthly, ,Mail On Sunday Subscription_200_30, ,IAY,1,4.9,01/05/2013,01/05/2013,USD,US,USD,498418935,6.99, ,4794K88545,New,1 Month
APPLE,US,royalwedding001,Associated Northcliffe Digital Limited,Mail on Sunday Royal Wedding,1,1T,3,0,01/05/2013,01/05/2013,USD,US,USD,432331167,0, , , , 
APPLE,US,BAM001,Associated Northcliffe Digital Limited,Bamboozle! - The Classic Teletext Quiz Game,2.6,1F,61,0,01/05/2013,01/05/2013,GBP,GB,GBP,384407005,0, , , , 
APPLE,US,4794K88545,Associated Northcliffe Digital Limited,Daily Mail Newspaper,1.06,1T,3,0,01/05/2013,01/05/2013,EUR,BE,EUR,451510290,0, , , , 
APPLE,US,4794K88545,Associated Northcliffe Digital Limited,Daily Mail Newspaper,1.06,7T,2,0,01/05/2013,01/05/2013,EUR,ES,EUR,451510290,0, , , , 
APPLE,US,com.metro.phone001,Associated Northcliffe Digital Limited,Metro Phone Edition,1.2,1,2,0,01/05/2013,01/05/2013,USD,MY,USD,465059515,0, , , , 
APPLE,US,com.metro.phone001,Associated Northcliffe Digital Limited,Metro Phone Edition,1.2,1,1,0,01/05/2013,01/05/2013,CHF,CH,CHF,465059515,0, , , , 
APPLE,US,com.metro.phone001,Associated Northcliffe Digital Limited,Metro Phone Edition,1.2,1,1,0,01/05/2013,01/05/2013,INR,IN,INR,465059515,0, , , , 
APPLE,US,MetroFFF1011,Associated Northcliffe Digital Limited,Fantasy Football from Metro,2.9.2,7F,30,0,01/05/2013,01/05/2013,GBP,GB,GBP,387367224,0, , , , 
APPLE,US,com.mos.crossword,Associated Northcliffe Digital Limited,Mail on Sunday Crossword,1.2,1F,2,0,01/05/2013,01/05/2013,CAD,CA,CAD,454136366,0, , , , 
APPLE,US,co.uk.mailonsunday.weekly, ,Mail On Sunday Subscription_100_7, ,IAY,2,2.19,01/05/2013,01/05/2013,EUR,FR,EUR,492605751,3.59, ,4794K88545,Renewal,7 Days
APPLE,US,com.metro.tablet001,Associated Northcliffe Digital Limited,Metro Tablet Edition,1.3.0,7T,12,0,01/05/2013,01/05/2013,EUR,NL,EUR,463429891,0, , , , 
APPLE,US,com.metro.tablet001,Associated Northcliffe Digital Limited,Metro Tablet Edition,1.3.0,7T,10,0,01/05/2013,01/05/2013,EUR,IE,EUR,463429891,0, , , , 
APPLE,US,com.metro.tablet001,Associated Northcliffe Digital Limited,Metro Tablet Edition,1.3.0,1T,1,0,01/05/2013,01/05/2013,HKD,HK,HKD,463429891,0, , , , 
APPLE,US,com.metro.tablet001,Associated Northcliffe Digital Limited,Metro Tablet Edition,1.3.0,1T,1,0,01/05/2013,01/05/2013,USD,LK,USD,463429891,0, , , , 
APPLE,US,iReporterKent&SussexCourier001,Associated Northcliffe Digital Limited,"iReporter, Kent & Sussex Courier",1,1,1,0,01/05/2013,01/05/2013,GBP,GB,GBP,460327743,0, , , , 
APPLE,US,uk.co.dailymail.weekly, ,Daily Mail Subscriptions_100_7, ,IAY,1,2.73,01/05/2013,01/05/2013,EUR,LU,EUR,451693186,4.49, ,4794K88545,Renewal,7 Days
APPLE,US,uk.co.dailymail.weekly, ,Daily Mail Subscriptions_100_7, ,IAY,1,27.99,01/05/2013,01/05/2013,ZAR,ZA,ZAR,451693186,39.99, ,4794K88545,Renewal,7 Days
APPLE,US,uk.co.dailymail.weekly, ,Daily Mail Subscriptions_100_7, ,IAY,1,2.73,01/05/2013,01/05/2013,EUR,AT,EUR,451693186,4.49, ,4794K88545,Renewal,7 Days
APPLE,US,com.metro.phone001,Associated Northcliffe Digital Limited,Metro Phone Edition,1.2,7,1,0,01/05/2013,01/05/2013,USD,US,USD,465059515,0, , , , 
APPLE,US,com.bamboozle.tv001, ,TV Quiz Pack 001, ,IA1,1,0.42,01/05/2013,01/05/2013,GBP,GB,GBP,425148299,0.69, ,BAM001, , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,1,0,01/05/2013,01/05/2013,USD,BN,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,1,0,01/05/2013,01/05/2013,EUR,LT,EUR,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,12,0,01/05/2013,01/05/2013,ZAR,ZA,ZAR,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,32,0,01/05/2013,01/05/2013,SGD,SG,SGD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,1,0,01/05/2013,01/05/2013,USD,KR,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,1,0,01/05/2013,01/05/2013,USD,TZ,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,3,0,01/05/2013,01/05/2013,EUR,BE,EUR,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,3,0,01/05/2013,01/05/2013,EUR,CY,EUR,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,12,0,01/05/2013,01/05/2013,USD,MY,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,9,0,01/05/2013,01/05/2013,EUR,FI,EUR,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,2,0,01/05/2013,01/05/2013,ILS,IL,ILS,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,11,0,01/05/2013,01/05/2013,INR,IN,INR,384101264,0, , , , 
